Formula,6,Correction
Chardata,1,2,83,49,138,1,-1,0,T,Roman Italic,0x4154
Chardata,2,62,81,84,152,1,0,1,LeftPar,Parenthesis,0x1980
Chardata,3,92,82,147,139,1,0,2,G,Roman Italic,0x4147
Chardata,4,155,122,178,150,1,2,3,r,Roman Italic,0x4172
Chardata,5,217,99,258,137,1,0,3,times,BinaryOperator,0x1C82
Chardata,6,274,108,315,151,1,2,5,G,Roman Italic,0x4147
Chardata,7,320,138,339,161,1,2,6,s,Roman Italic,0x4173
Chardata,8,345,131,376,164,1,0,7,plus,BinaryOperator,0x1C2B
Chardata,9,382,126,403,161,1,0,8,k,Roman Italic,0x416B
Chardata,10,438,84,496,139,1,0,5,D,Roman Italic,0x4144
Chardata,11,508,82,529,154,1,0,10,LeftPar,Parenthesis,0x1980
Chardata,12,533,102,577,139,1,0,11,sigma,Greek Italic,0x4272
Chardata,13,587,77,610,106,1,1,12,s,Roman Italic,0x4173
Chardata,14,619,68,660,111,1,0,13,plus,BinaryOperator,0x1C2B
Chardata,15,665,62,692,106,1,0,14,k,Roman Italic,0x416B
Chardata,16,702,83,724,154,1,0,12,RightPar,Parenthesis,0x1981
Chardata,17,733,83,754,154,1,0,16,RightPar,Parenthesis,0x1981
Chardata,18,788,109,844,131,1,0,17,equal,RelativeOperator,0x1D3D
Chardata,19,883,20,925,218,1,0,18,LeftPar,Parenthesis,0x1980
Chardata,20,936,117,1169,122,1,0,19,frac,BigSymbol,0x33D1
Chardata,21,1043,26,1064,83,1,5,20,one,Numeric Upright,0x0131
Chardata,22,938,143,974,199,1,6,20,two,Numeric Upright,0x0132
Chardata,23,979,147,1002,176,1,1,22,r,Roman Italic,0x4172
Chardata,24,1012,158,1051,162,1,0,23,minus,BinaryOperator,0x1C2D
Chardata,25,1056,147,1079,177,1,0,24,s,Roman Italic,0x4173
Chardata,26,1089,158,1128,162,1,0,25,minus,BinaryOperator,0x1C2D
Chardata,27,1134,133,1160,177,1,0,26,k,Roman Italic,0x416B
Chardata,28,1180,20,1221,219,1,0,20,RightPar,Parenthesis,0x1981
Chardata,29,1226,2,1241,46,1,1,28,l,Roman Italic,0x416C
Chardata,30,1251,2,1267,56,1,0,29,LeftPar,Parenthesis,0x1980
Chardata,31,1270,17,1305,45,1,0,30,sigma,Greek Italic,0x4272
Chardata,32,1313,2,1329,56,1,0,31,RightPar,Parenthesis,0x1981
Chardata,33,1340,28,1378,32,1,0,32,minus,BinaryOperator,0x1C2D
Chardata,34,1392,3,1406,46,1,0,33,one,Numeric Upright,0x0131
